Data;Wojewodztwo;Liczba wykonanych testów
03.03.2020;Śląskie;4
04.03.2020;Mazowieckie;0
04.03.2020;Śląskie;5
05.03.2020;Lubuskie;12
05.03.2020;Łódzkie;0
05.03.2020;Małopolskie;0
05.03.2020;Mazowieckie;0
05.03.2020;Opolskie;0
05.03.2020;Podkarpackie;7
05.03.2020;Podlaskie;0
05.03.2020;Pomorskie;18
05.03.2020;Śląskie;6
05.03.2020;Świętokrzyskie;3
05.03.2020;Warmińsko-Mazurskie;7
05.03.2020;Wielkopolskie;23
05.03.2020;Zachodniopomorskie;0
06.03.2020;Dolnośląskie;16
06.03.2020;Lubelskie;11
06.03.2020;Lubuskie;31
06.03.2020;Łódzkie;0
06.03.2020;Mazowieckie;0
06.03.2020;Opolskie;0
06.03.2020;Podkarpackie;13
06.03.2020;Pomorskie;0
06.03.2020;Śląskie;7
06.03.2020;Świętokrzyskie;6
06.03.2020;Warmińsko-Mazurskie;22
06.03.2020;Wielkopolskie;46
06.03.2020;Zachodniopomorskie;0
07.03.2020;Dolnośląskie;18
07.03.2020;Lubelskie;0
07.03.2020;Lubuskie;68
07.03.2020;Łódzkie;8
07.03.2020;Mazowieckie;0
07.03.2020;Opolskie;0
07.03.2020;Podkarpackie;12
07.03.2020;Pomorskie;5
07.03.2020;Śląskie;11
07.03.2020;Świętokrzyskie;6
07.03.2020;Warmińsko-Mazurskie;29
07.03.2020;Wielkopolskie;16
08.03.2020;Dolnośląskie;18
08.03.2020;Lubelskie;0
08.03.2020;Lubuskie;66
08.03.2020;Łódzkie;12
08.03.2020;Mazowieckie;0
08.03.2020;Opolskie;0
08.03.2020;Podkarpackie;9
08.03.2020;Pomorskie;0
08.03.2020;Śląskie;16
08.03.2020;Świętokrzyskie;28
08.03.2020;Warmińsko-Mazurskie;8
08.03.2020;Wielkopolskie;36
09.03.2020;Dolnośląskie;35
09.03.2020;Lubelskie;14
09.03.2020;Lubuskie;39
09.03.2020;Łódzkie;10
09.03.2020;Mazowieckie;0
09.03.2020;Opolskie;0
09.03.2020;Podkarpackie;10
09.03.2020;Pomorskie;6
09.03.2020;Śląskie;22
09.03.2020;Świętokrzyskie;8
09.03.2020;Warmińsko-Mazurskie;21
09.03.2020;Wielkopolskie;34
10.03.2020;Dolnośląskie;31
10.03.2020;Lubelskie;19
10.03.2020;Lubuskie;42
10.03.2020;Łódzkie;13
10.03.2020;Mazowieckie;283
10.03.2020;Opolskie;0
10.03.2020;Podkarpackie;9
10.03.2020;Pomorskie;31
10.03.2020;Śląskie;32
10.03.2020;Świętokrzyskie;10
10.03.2020;Warmińsko-Mazurskie;4
10.03.2020;Wielkopolskie;55
11.03.2020;Dolnośląskie;42
11.03.2020;Lubelskie;35
11.03.2020;Lubuskie;108
11.03.2020;Łódzkie;52
11.03.2020;Mazowieckie;526
11.03.2020;Opolskie;0
11.03.2020;Podkarpackie;15
11.03.2020;Pomorskie;32
11.03.2020;Śląskie;32
11.03.2020;Świętokrzyskie;28
11.03.2020;Warmińsko-Mazurskie;102
11.03.2020;Wielkopolskie;66
12.03.2020;Dolnośląskie;48
12.03.2020;Lubelskie;38
12.03.2020;Lubuskie;24
12.03.2020;Łódzkie;32
12.03.2020;Mazowieckie;110
12.03.2020;Podkarpackie;60
12.03.2020;Pomorskie;21
12.03.2020;Śląskie;44
12.03.2020;Świętokrzyskie;6
12.03.2020;Warmińsko-Mazurskie;57
12.03.2020;Wielkopolskie;135
12.03.2020;Zachodniopomorskie;19
13.03.2020;Dolnośląskie;132
13.03.2020;Lubelskie;43
13.03.2020;Lubuskie;95
13.03.2020;Łódzkie;85
13.03.2020;Małopolskie;69
13.03.2020;Mazowieckie;161
13.03.2020;Podkarpackie;54
13.03.2020;Pomorskie;75
13.03.2020;Śląskie;167
13.03.2020;Świętokrzyskie;44
13.03.2020;Warmińsko-Mazurskie;23
13.03.2020;Wielkopolskie;96
13.03.2020;Zachodniopomorskie;46
14.03.2020;Dolnośląskie;88
14.03.2020;Lubelskie;116
14.03.2020;Lubuskie;38
14.03.2020;Łódzkie;69
14.03.2020;Małopolskie;82
14.03.2020;Mazowieckie;211
14.03.2020;Opolskie;48
14.03.2020;Podkarpackie;133
14.03.2020;Pomorskie;80
14.03.2020;Śląskie;130
14.03.2020;Świętokrzyskie;25
