Data;Województwo;Przypadki narastająco
23.03.2020;Dolnośląskie;101
23.03.2020;Kujawsko-pomorskie;21
23.03.2020;Lubelskie;48
23.03.2020;Lubuskie;16
23.03.2020;Łódzkie;111
23.03.2020;Małopolskie;33
23.03.2020;Mazowieckie;175
23.03.2020;Opolskie;19
23.03.2020;Podkarpackie;30
23.03.2020;Podlaskie;7
23.03.2020;Pomorskie;21
23.03.2020;Śląskie;77
23.03.2020;Świętokrzyskie;8
23.03.2020;Warmińsko-mazurskie;25
23.03.2020;Wielkopolskie;41
23.03.2020;Zachodniopomorskie;16
24.03.2020;Dolnośląskie;134
24.03.2020;Kujawsko-pomorskie;22
24.03.2020;Lubelskie;54
24.03.2020;Lubuskie;21
24.03.2020;Łódzkie;129
24.03.2020;Małopolskie;49
24.03.2020;Mazowieckie;212
24.03.2020;Opolskie;21
24.03.2020;Podkarpackie;37
24.03.2020;Podlaskie;7
24.03.2020;Pomorskie;22
24.03.2020;Śląskie;87
24.03.2020;Świętokrzyskie;8
24.03.2020;Warmińsko-mazurskie;29
24.03.2020;Wielkopolskie;42
24.03.2020;Zachodniopomorskie;26
25.03.2020;Dolnośląskie;150
25.03.2020;Kujawsko-pomorskie;27
25.03.2020;Lubelskie;60
25.03.2020;Lubuskie;23
25.03.2020;Łódzkie;144
25.03.2020;Małopolskie;56
25.03.2020;Mazowieckie;251
25.03.2020;Opolskie;23
25.03.2020;Podkarpackie;43
25.03.2020;Podlaskie;10
25.03.2020;Pomorskie;22
25.03.2020;Śląskie;107
25.03.2020;Świętokrzyskie;14
25.03.2020;Warmińsko-mazurskie;33
25.03.2020;Wielkopolskie;57
25.03.2020;Zachodniopomorskie;31
26.03.2020;Dolnośląskie;165
26.03.2020;Kujawsko-pomorskie;31
26.03.2020;Lubelskie;74
26.03.2020;Lubuskie;30
26.03.2020;Łódzkie;158
26.03.2020;Małopolskie;69
26.03.2020;Mazowieckie;291
26.03.2020;Opolskie;26
26.03.2020;Podkarpackie;53
26.03.2020;Podlaskie;13
26.03.2020;Pomorskie;28
26.03.2020;Śląskie;127
26.03.2020;Świętokrzyskie;15
26.03.2020;Warmińsko-mazurskie;39
26.03.2020;Wielkopolskie;69
26.03.2020;Zachodniopomorskie;33
27.03.2020;Dolnośląskie;193
27.03.2020;Kujawsko-pomorskie;33
27.03.2020;Lubelskie;78
27.03.2020;Lubuskie;31
27.03.2020;Łódzkie;168
27.03.2020;Małopolskie;93
27.03.2020;Mazowieckie;318
27.03.2020;Opolskie;28
27.03.2020;Podkarpackie;61
27.03.2020;Podlaskie;17
27.03.2020;Pomorskie;32
27.03.2020;Śląskie;141
27.03.2020;Świętokrzyskie;22
27.03.2020;Warmińsko-mazurskie;44
27.03.2020;Wielkopolskie;90
27.03.2020;Zachodniopomorskie;40
28.03.2020;Dolnośląskie;214
28.03.2020;Kujawsko-pomorskie;37
28.03.2020;Lubelskie;87
28.03.2020;Lubuskie;33
28.03.2020;Łódzkie;182
